$GPRMC,233452.557,A,4347.9968,N,12038.6960,W,006.0
$GPRMC,233453.557,A,4347.9985,N,12038.6976,W,008.1
$GPRMC,233454.557,A,4347.9996,N,12038.6992,W,006.8
$GPRMC,233455.557,A,4348.0006,N,12038.7007,W,011.6
$GPRMC,233456.557,A,4348.0021,N,12038.7022,W,006.1
$GPRMC,233457.557,A,4348.0040,N,12038.7042,W,006.1
$GPRMC,233458.557,A,4348.0050,N,12038.7052,W,003.1
$GPRMC,233459.557,A,4348.0051,N,12038.7051,W,001.4
$GPRMC,233500.557,A,4348.0050,N,12038.7049,W,000.0
$GPRMC,233501.557,A,4348.0046,N,12038.7046,W,000.0
$GPRMC,233502.557,A,4348.0045,N,12038.7044,W,000.0
$GPRMC,233503.557,A,4348.0043,N,12038.7043,W,000.0
$GPRMC,233504.557,A,4348.0040,N,12038.7039,W,000.0
$GPRMC,233505.557,A,4348.0039,N,12038.7038,W,000.0
$GPRMC,233506.557,A,4348.0037,N,12038.7036,W,000.0
$GPRMC,233507.557,A,4348.0036,N,12038.7035,W,000.0
